@USER @USER I've wondered that with some ppl too . To not have any empathy for others , those ppl are devoid of a soul .	0
@USER @USER @USER What is sad pathetic life that someone actually has to have a Star Trek Discovery sucks Twitter .	0
@USER @USER @USER is a disaster on all levels . Apparently it is a Nationwide problem . #bankruptcy	0
@USER @USER The here is that YOU are the " commie " 👇 <URL>	1
@USER @USER @USER and #Uplifting ! Seldom do I find books or authors with the ability to reach us via our hearts and minds . This is one of the rare exceptions . The author connects with the reader not just through religion but also through spirituality " - Reviewer <URL>	0
@USER @USER my point was that spiked are left wing & pro-immigration while the people re-tweeting them aren't	1
@USER " Oye Lucky Lucky Oye " I would steal each and everything by paying off the bribe 1 million to Myntra Warehouse Employees 🙈 🙈 Join in guys @USER @USER #MyntraEORS #EORSGameZone #IndiasBiggestFashionSale <URL>	1
@USER I want to live in #peace and too . That's why I am committed to #StopIslam .	0
@USER worse , it was posted over 4 hours ago and is STILL UNCORRECTED ! btw it's BLACK HISTORY MONTH #Incompetence @USER	1
@USER @USER @USER Anyone would think that the whole anti-Semitism in thing was all made up just to discredit .	1
@USER @USER @USER This is #blackpreacher style . #energy is #conviction and . If you go to a white church , you ’ ll get and .	0
@USER @USER @USER Also , don't forget the monopoly is with " scholars " who write one sided op-eds , mislead students / non-lawyers , are non-practicing " practicing lawyers " and give certificates to judges and courts , are the ONLY repositories of constitutional wisdom which matter .	1
@USER @USER @USER I just looked and only saw 1 . I quoted one of his tweets . Tagged it & #ClassicTater	1
@USER @USER @USER when I got taught how to use an epi pen the dr told me to go straight for the neck 😂 😂	1
@USER @USER @USER So now you are talking to yourself because you lost the argument .	0
@USER @USER if liberals did not make government so involved in everything they'd have no reason to fear any gov't .	1
@USER Now hold on a minute , you're saying that a globalist movement failed because this nation was attacked by another one ?	1
@USER @USER @USER Very simply put may we ALL decide to be a #Christian today with a heart , a new found Ezekiel 36:26 HEART of eternal for ALL ! #Prayer <URL>	0
@USER Reckon this guy was a Head of Creative <URL>	0
@USER @USER @USER I don't care about having followers , is that how you measure your life ?	0
@USER But some “ Christians ” enjoy finding reasons to hate .	1
@USER Well , this is a shocking tweet . I never thought in a million years that you , as the best Christian the world has ever seen and chosen by God , would ever diss a Christian publication . Wow , was I wrong . #ImpeachAndRemove	1
@USER Oh ! So now I what you're making ... A bowl / basket / receptacle of some sort ? ? #noticewonder #FiberArt	0
Glad to have gotten the opportunity to work with some amazing people in this journey .. And a heartfelt thanks to everyone for all the love & support .. #peace #Harmony #bands <URL>	0
@USER ties the game up 2-2 after drawing a penalty shot ! #buildit #penaltyshot	0
@USER No . Not even one . They're alll purely indians . The fact that i am from myanmar is confidential so pls :)	1
@USER @USER @USER I like it as well ! We did something like this months back . It was so much fun . My nieces helped me to go through a figure out each state our followers helped to clear a list . We hit all 50 states , Canada , and the UK .	0
@USER @USER it takes a women conference to bring the change 🙂 👍	0
@USER @USER @USER Thank you so much 😊 so glad you liked 💙 Let's do what we love and do a lot of it . Livin ~ Lovin ~ #Life ... ! ! #roadtrips ~ 💞 Sending Love & Joy to All ! 😘 Goodnight 🌙 <URL>	0
@USER @USER Stephen Jones finally losing it on Twitter by claiming the Liberty is a great stadium . Never mind his thoughts on Sarries and the salary cap breach - this is a new low even for him . <URL>	0
@USER Lucasfilm even introduced the theme that “ Stormtroopers are people too ” with Finn and Janna , but they lacked any empathy for them , despite fighting in the names of hope and love . Ugh ...	0
@USER @USER @USER it is too obvious that this was orgnised crime to date 183 arrested Organised crime ... and say it by SICK HUMANS making money of Brainwashed sheep - GSoros ! ! Q	0
@USER @USER It ’ s “ etc . ” , short for “ et cetera ” , meaning “ and the rest ” . Don ’ t worry about Latin anyway , “ legaltips ” . It ’ s a dead language . #DemocratsAreDullWitted	1
@USER @USER @USER Love how you write about the coup in your article but don ’ t mention the electoral fraud . Are you trying to report the truth or just what is convenient to you ? #ThereWasNoCoup , a power greedy autocrat was overthrown .	1
@USER @USER @USER Hey Hey Hey the candidates shouldn't be talking abt facts ! !	1
@USER @USER @USER But why the hell police should go into JNU campus . Police has no role to play this is fascism Police cant be allowed to get into campus	1
